"orden";"sitios";"gobierno_local";"codigo";"fecha";"año";"campaña";"tem_agua";"od";"ph";"colif_totales_nmp_100ml";"colif_fecales_nmp_100ml";"escher_coli_nmp_100ml";"nitrato_mg_l";"nh4_mg_l";"dqo_mg_l";"ica";"clase_ica"
"35";"Toma de agua Club de Pesca";"Ensenada";"EN082";"27/8/2014";"2014";"invierno";"12";"9.26";"7.73";"21000";"900";"< 300";"8";"2.5";"24";"48";"Muy deteriorada"
"36";"Arroyo El Gato";"Ensenada";"EN083";"27/8/2014";"2014";"invierno";"14";"7.42";"1.09";"24000";"24000";"900";"5";"6.2";"35";"31";"Extremadamente deteriorada"
"37";"Ensenada Prefectura Isla Santiago";"Ensenada";"EN084";"27/8/2014";"2014";"invierno";"13";"9.27";"7.78";"2100";"900";"< 300";"16";"1";"23";"52";"Muy deteriorada"
"38";"Diagonal 66 (descarga cloaca)";"Berisso";"BS095";"27/8/2014";"2014";"invierno";"9";"5.67";"6.71";"15000";"2300";"2300";"";"7";"";"32";"Extremadamente deteriorada"
"39";"Balneario Municipal";"Berisso";"BS094";"27/8/2014";"2014";"invierno";"11";"9.9";"7.58";"2000";"900";"400";"3";"0.6";"83";"53";"Muy deteriorada"
"40";"Playa La Balandra";"Berisso";"BS093";"27/8/2014";"2014";"invierno";"9";"9.66";"7.82";"21000";"900";"400";"9";"3.2";"32";"46";"Muy deteriorada"
"1";"Canal Villa Nueva y Río Luján";"Tigre";"TI001";"12/11/2014";"2014";"primavera";"24";"3.68";"7.41";"< 300";"< 300";"< 300";"6.47";"0.2";"39";"71";"Levemente deteriorada"
"2";"Río Lujan y Arroyo Caraguatá";"Tigre";"TI006";"12/11/2014";"2014";"primavera";"25";"3.57";"7.66";"46000";"400";"< 300";"8.08";"0.36";"41";"70";"Levemente deteriorada"
"3";"Canal Aliviador y Río Lujan";"Tigre";"TI002";"12/11/2014";"2014";"primavera";"22";"3.82";"7.79";"> 110000";"110000";"400";"9.9";"0.8";"46";"30";"Extremadamente detriorada"
"4";"Río Carapachay y Arroyo Gallo Fiambre";"Tigre";"TI003";"12/11/2014";"2014";"primavera";"25";"3.89";"7.6";"24000";"4800";"900";"7.24";"0.47";"34";"46";"Muy deteriorada"
"5";"Río Reconquista y Río Lujan";"Tigre";"TI004";"12/11/2014";"2014";"primavera";"25";"3.96";"7.64";"46000";"2800";"< 300";"7.49";"0.55";"38";"43";"Extremadamente detriorada"
"6";"Rio Tigre 100m antes del Rio Luján";"Tigre";"TI005";"12/11/2014";"2014";"primavera";"23";"4.05";"7.74";"> 110000";"21000";"700";"9.98";"0.59";"41";"32";"Extremadamente detriorada"
"7";"Río Lujan y Canal San Fernando";"Tigre";"TI007";"12/11/2014";"2014";"primavera";"22";"3.54";"7.66";"24000";"9300";"700";"8.02";"0.54";"37";"35";"Extremadamente detriorada"
"8";"Río Capitán y Río San Antonio";"Tigre";"TI008";"12/11/2014";"2014";"primavera";"26";"6.04";"7.63";"400";"< 300";"< 300";"4.5";"0.16";"24";"72";"Levemente deteriorada"
