"orden";"sitios";"gobierno_local";"codigo";"fecha";"año";"campaña";"tem_agua";"od";"ph";"colif_totales_ufc_100ml";"colif_fecales_ufc_100ml";"escher_coli_ufc_100ml";"nitrato_mg_l";"nh4_mg_l";"dqo_mg_l";"ica";"clase_ica"
"37";"Diagonal 66 (descarga cloaca)";"Berisso";"BS095";"22/6/2016";"2016";"otoño";"no se midió";"no se midió";"no se midió";"280000";"25000";"20000";"13.3";"1.82";"87";"16";"Extremadamente deteriorada"
"38";"Balneario Municipal";"Berisso";"BS094";"22/6/2016";"2016";"otoño";"no se midió";"no se midió";"no se midió";"11000";"400";"300";"7.5";"0.98";"71";"32";"Extremadamente deteriorada"
"39";"Playa La Balandra";"Berisso";"BS093";"22/6/2016";"2016";"otoño";"no se midió";"no se midió";"no se midió";"37000";"1000";"99";"4.4";"<0.05";"52";"60";"Muy deteriorada"
"1";"Canal Villa Nueva y Río Luján";"Tigre";"TI001";"15/9/2016";"2016";"invierno";"no se midió";"no se midió";"no se midió";"23000";"3200";"900";"3.1";"0.077";"34";"35";"Extremadamente deteriorada"
"2";"Río Lujan y Arroyo Caraguatá";"Tigre";"TI006";"15/9/2016";"2016";"invierno";"no se midió";"no se midió";"no se midió";"30000";"5600";"2000";"3.1";"0.45";"44";"33";"Extremadamente deteriorada"
"3";"Canal Aliviador y Río Lujan";"Tigre";"TI002";"15/9/2016";"2016";"invierno";"no se midió";"no se midió";"no se midió";"40000";"11000";"4500";"3.5";"0.45";"43";"31";"Extremadamente deteriorada"
"4";"Río Carapachay y Arroyo Gallo Fiambre";"Tigre";"TI003";"15/9/2016";"2016";"invierno";"no se midió";"no se midió";"no se midió";"120000";"3400";"1000";"2.7";"0.27";"31";"35";"Extremadamente deteriorada"
"5";"Río Reconquista y Río Lujan";"Tigre";"TI004";"15/9/2016";"2016";"invierno";"no se midió";"no se midió";"no se midió";"98000";"8000";"1800";"3.1";"0.501";"34";"18";"Extremadamente deteriorada"
"6";"Rio Tigre 100m antes del Rio Luján";"Tigre";"TI005";"15/9/2016";"2016";"invierno";"no se midió";"no se midió";"no se midió";"110000";"9000";"7000";"3.1";"0.463";"40";"31";"Extremadamente deteriorada"
"7";"Río Lujan y Canal San Fernando";"Tigre";"TI007";"15/9/2016";"2016";"invierno";"no se midió";"no se midió";"no se midió";"31000";"8200";"6600";"3.5";"0.501";"34";"17";"Extremadamente deteriorada"
