orden,sitios,codigo,fecha,año,campaña,tem_agua,tem_aire,od,ph,olores,color,espumas,mat_susp,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,nitrato_mg_l,nh4_mg_l,p_total_l_mg_l,fosf_ortofos_mg_l,dbo_mg_l,dqo_mg_l,turbiedad_ntu,hidr_deriv_petr_ug_l,cr_total_mg_l,cd_total_mg_l,clorofila_a_ug_l,microcistina_ug_l,ica,calidad_de_agua
28,calle 14 y costa - salida cloaca,bz078,13/11/2013,2013,primavera,20.2,,8.5,,,,,,,,,6.39,0.068,,,,145.0,,,,,,,,
29,puerto trinidad calle 47,bz077,13/11/2013,2013,primavera,21.0,,9,,,,,,,,,7.22,0.412,,,,,,,,,,,,
30,costanera hudson calle 63,bz080,13/11/2013,2013,primavera,,,,,,,,,,,,5.63,0.184,,,,,,,,,,,,
31,camping eva pera3n,en081,13/11/2013,2013,primavera,20.9,,8.88,8.17,,,,,2.400,2.400,,13.2,0.142,,,,77.0,,,,,,,54.0,muy deteriorada
32,toma de agua club de pesca,en082,13/11/2013,2013,primavera,21.6,,6.49,7.65,,,,,,,,18.0,0.012,,,,56.0,,,,,,,,
33,arroyo el gato,en083,13/11/2013,2013,primavera,21.6,,0.96,7.54,,,,,,,,18.5,0.704,,,,68.0,,,,,,,,
34,ensenada prefectura isla santiago,en084,13/11/2013,2013,primavera,21.4,,7.25,7.78,,,,,,,,17.5,0.046,,,,56.0,,,,,,,,
35,diagonal 66 (descarga cloaca),bs095,13/11/2013,2013,primavera,21.6,,7.95,7.58,,,,,,,,,1.516,,,,120.0,,,,,,,,
36,balneario municipal,bs094,13/11/2013,2013,primavera,21.1,,9.36,8.09,,,,,,,,8.94,0.066,,,,61.0,,,,,,,,
37,playa la balandra,bs093,13/11/2013,2013,primavera,20.9,,9.66,7.68,,,,,490,490,,9.61,0.146,,,,70.0,,,,,,,74.0,deteriorada
1,canal villanueva y rao lujan,ti001,26/3/2014,2014,verano,22.0,,6.68,8.04,,,,,2300,300.0,,2.9,0.15,,,,,,,,,,,61.0,muy deteriorada
2,rao lujan y arroyo caraguata,ti006,26/3/2014,2014,verano,20.0,,6.13,7.91,,,,,2300,400.0,,7.5,0.14,,,,,,,,,,,54.0,muy deteriorada
3,canal aliviador y rao lujan,ti002,26/3/2014,2014,verano,22.0,,2.99,8.23,,,,,46000,700.0,,12,8.6,,,,,,,,,,,30.0,extremadamente deteriorada
4,rao carapachay y arroyo gallo fiambre,ti003,26/3/2014,2014,verano,21.0,,4.95,7.82,,,,,900,900.0,,2.9,0.62,,,,,,,,,,,53.0,muy deteriorada
5,rao reconquista y rao lujan,ti004,26/3/2014,2014,verano,21.0,,4.54,8.07,,,,,15000,400.0,,9.2,4.77,,,,,,,,,,,32.0,extremadamente deteriorada
6,rio tigre 100m antes del rio lujan,ti005,26/3/2014,2014,verano,22.0,,8.33,8.21,,,,,110000,4300.0,,13.2,5.8,,,,,,,,,,,37.0,extremadamente deteriorada
7,rao lujan y canal san fernando,ti007,26/3/2014,2014,verano,22.0,,3.12,8.13,,,,,4300,300.0,,2.6,8.99,,,,,,,,,,,35.0,extremadamente deteriorada
8,rao capitan y rao san antonio,ti008,26/3/2014,2014,verano,20.0,,7.48,8.3,,,,,900,400.0,,2.2,0.03,,,,,,,,,,,75.0,deteriorada
9,arroyo abra vieja y santa rosa,ti009,26/3/2014,2014,verano,20.0,,6.44,7.89,,,,,1500,300.0,,1.5,0.17,,,,,,,,,,,59.0,muy deteriorada
10,del arca,sf015,26/3/2014,2014,verano,22.0,,4.65,7.44,,,,,24000,300.0,,6.4,1.29,,,,,,,,,,,31.0,extremadamente deteriorada
11,espiga3n la farola,si021,26/3/2014,2014,verano,21.3,,8.26,7.76,,,,,900,300.0,,5.9,0.31,,,,,,,,,,,75.0,deteriorada
12,reserva ecola3gica,si022,26/3/2014,2014,verano,21.5,,6.83,7.49,,,,,400,400.0,,9.7,0.41,,,,,,,,,,,84.0,levemente deteriorada
13,playa espiga3n de pacheco,si024,26/3/2014,2014,verano,22.0,,8.04,7.85,,,,,24000,300.0,,13.1,8.93,,,,,,,,,,,38.0,extremadamente deteriorada
14,perao puente,si023,26/3/2014,2014,verano,21.6,,2.42,7.53,,,,,2300,300.0,,15.5,1.54,,,,,,,,,,,42.0,extremadamente deteriorada
15,reserva barrio el ceibo,vl033,26/3/2014,2014,verano,21.3,,7.8,7.85,,,,,9300,300.0,,13.1,4.3,,,,,,,,,,,41.0,extremadamente deteriorada
16,puerto de olivos espiga3n,vl032,26/3/2014,2014,verano,21.1,,6.5,7.61,,,,,9300,2100.0,,11.2,0.53,,,,,,,,,,,42.0,extremadamente deteriorada
17,costa y melo,vl031,26/3/2014,2014,verano,21.1,,7.0,7.8,,,,,46000,300.0,,9.6,0.77,,,,,,,,,,,37.0,extremadamente deteriorada
18,parque de los niaos,ca041,12/2/2014,2014,verano,27.2,,3.08,7.13,,,,,42000,42000.0,,3,0.8,,,,,,,,,,,31.0,extremadamente deteriorada
20,costanera norte - espiga3n abanico,ca044,12/2/2014,2014,verano,27.2,,3.89,7.07,,,,,50000,19000.0,,4,1.0,,,,,,,,,,,30.0,extremadamente deteriorada
21,club de pescadores,ca046,12/2/2014,2014,verano,26.8,,3.73,7.15,,,,,35000,35000.0,,5,0.5,,,,,,,,,,,38.0,extremadamente deteriorada
22,reserva ecola3gica costanera sur - playita,ca047,12/2/2014,2014,verano,28.3,,4.12,7.65,,,,,13000,4000.0,,4,0.3,,,,,,,,,,,41.0,extremadamente deteriorada
23,escollera de propaneros,av054,26/3/2014,2014,verano,23.8,,3.75,7.35,,,,,4300,700.0,,13.7,5.92,,,,,,,,,,,36.0,extremadamente deteriorada
24,polo petroquamico dock sud,av051,26/3/2014,2014,verano,22.7,,9.72,7.25,,,,,4300,300.0,,4.5,9.74,,,,,,,,,,,35.0,extremadamente deteriorada
