orden;sitios;codigo;fecha;A�o;Campa�a;tem_agua;tem_aire;od;ph;olores;color;espumas;mat_susp;colif_fecales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;nitrato_mg_l;nh4_mg_l;p_total_l_mg_l;fosf_ortofos_mg_l;dbo_mg_l;dqo_mg_l;turbiedad_ntu;hidr_deriv_petr_ug_l;cr_total_mg_l;cd_total_mg_l;clorofila_a_ug_l;microcistina_ug_l;ica;calidad_de_agua
11;Espigón La Farola;SI021;15/9/2016;2016;invierno;;;;;;;;;2000;1200;;4.9;0.63;;;;37;;;;;;;22;Extremadamente deteriorada
12;Reserva Ecológica;SI022;15/9/2016;2016;invierno;;;;;;;;;2600;800;;5.8;0.231;;;;20;;;;;;;36;Extremadamente deteriorada
13;Playa Espigón de Pacheco;SI024;15/9/2016;2016;invierno;;;;;;;;;10600;3700;;8.9;0.283;;;;37;;;;;;;31;Extremadamente deteriorada
14;Perú Puente;SI023;15/9/2016;2016;invierno;;;;;;;;;124000;30000;;43;1.144;;;;34;;;;;;;16;Extremadamente deteriorada
15;Reserva Barrio El Ceibo;VL033;15/9/2016;2016;invierno;15.3;;7;7.68;;;;;36200;9400;;6.6;0.386;;;;23;;;;;;;39;Extremadamente deteriorada
16;Puerto de Olivos Espigón;VL032;15/9/2016;2016;invierno;15;;6.1;7.73;;;;;32800;15000;;5.8;0.553;;;;28;;;;;;;33;Extremadamente deteriorada
17;Costa y Melo;VL031;15/9/2016;2016;invierno;15.6;;7.4;7.87;;;;;20800;3600;;4.2;0.334;;;;56;;;;;;;40;Extremadamente deteriorada
18;Parque de los Niños;CA041;14/9/2016;2016;invierno;16.8;;7.37;6.73;;;;;23000;23000;;5;<0.13;;;;258;;;;;;;39;Extremadamente deteriorada
19;Costanera Norte - Espigón Abanico;CA044;14/9/2016;2016;invierno;16.9;;7.81;6.11;;;;;33000;30000;;9;<0.13;;;;270;;;;;;;33;Extremadamente deteriorada
20;Club de Pescadores;CA046;14/9/2016;2016;invierno;16.6;;6.95;6.85;;;;;54000;47000;;6;1.286;;;;128;;;;;;;33;Extremadamente deteriorada
21;Reserva Ecológica Costanera Sur - Playita;CA047;14/9/2016;2016;invierno;16;;7.05;7.24;;;;;48000;44000;;5;3.214;;;;68;;;;;;;33;Extremadamente deteriorada
22;Escollera de Propaneros;AV054;15/9/2016;2016;invierno;19.8;;4.4;6.8;;;;;5600;1400;;4.4;0.643;;;;37;;;;;;;31;Extremadamente deteriorada
23;Polo Petroquímico Dock Sud;AV051;15/9/2016;2016;invierno;16.2;;4.06;7.1;;;;;1000;600;;2.7;0.63;;;;40;;;;;;;42;Extremadamente deteriorada
24;Arroyo Sarandí;AV052;15/9/2016;2016;invierno;15.9;;3.52;7.24;;;;;800;700;;5.8;0.669;;;;31;;;;;;;43;Extremadamente deteriorada
25;Costa de Villa Domínico;AV055;15/9/2016;2016;invierno;15.3;;3.32;7.25;;;;;12000;400;;4;0.643;;;;48;;;;;;;29;Extremadamente deteriorada
26;Arroyo Santo Domingo;AV053;15/9/2016;2016;invierno;15.4;;4.5;7.37;;;;;3800;400;;3.5;0.579;;;;34;;;;;;;35;Extremadamente deteriorada
27;Espora 400 m;QU061;15/9/2016;2016;invierno;14.1;;7.64;7.46;;;;;2100;1500;;3.1;0.45;;;;45;;;;;;;50;Muy deteriorada
28;Náutico 400 m;QU062;15/9/2016;2016;invierno;14.6;;8.16;7.15;;;;;7000;2500;;3.5;0.411;;;;31;;;;;;;43;Extremadamente deteriorada
29;Pejerrey Club 400 m;QU063;15/9/2016;2016;invierno;14.4;;8.54;7.49;;;;;3400;500;;3.1;0.437;;;;34;;;;;;;49;Muy deteriorada
30;Calle 14 y Costa - Salida cloaca;BZ078;15/9/2016;2016;invierno;20.4;;4.6;;;;;;82400;>30000;;3.1;0.72;;;;98;;;;;;;21;Extremadamente deteriorada
31;Puerto Trinidad calle 47;BZ077;15/9/2016;2016;invierno;18.7;;9.4;;;;;;100;100;;13.7;<0.064;;;;15;;;;;;;100;
32;Costanera Hudson Calle 63;BZ080;15/9/2016;2016;invierno;;;;;;;;;1000;800;;10.6;0.334;;;;38;;;;;;;41;Extremadamente deteriorada
33;Camping Eva Perón;EN081;15/9/2016;2016;invierno;18;;;8.4;;;;;400;200;;15.5;<0.064;;;;70;;;;;;;69;Deteriorada
34;Toma de agua Club de Pesca;EN082;15/9/2016;2016;invierno;18;;;7.8;;;;;<100;<100;;11.5;0.129;;;;12;;;;;;;100;
35;Arroyo El Gato;EN083;15/9/2016;2016;invierno;;;;;;;;;600;200;;7.1;<0.064;;;;<10;;;;;;;51;Muy deteriorada
36;Ensenada Prefectura Isla Santiago;EN084;15/9/2016;2016;invierno;16.3;;;7.8;;;;;100;<100;;6.2;<0.064;;;;12;;;;;;;100;
37;Playa La Bagliardi;BS091;15/9/2016;2016;invierno;;;;;;;;;;;;;;;;;;;;;;;;;
38;Balneario Municipal;BS094;15/9/2016;2016;invierno;13;;10.47;6.09;;;;;3400;300;;8.9;<0.064;;;;92;;;;;;;65;Deteriorada
