orden;sitios;codigo;fecha;A駉;Campa馻;tem_agua;tem_aire;od;ph;olores;color;espumas;mat_susp;colif_fecales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;nitrato_mg_l;nh4_mg_l;p_total_l_mg_l;fosf_ortofos_mg_l;dbo_mg_l;dqo_mg_l;turbiedad_ntu;hidr_deriv_petr_ug_l;cr_total_mg_l;cd_total_mg_l;clorofila_a_ug_l;microcistina_ug_l;ica;calidad_de_agua
14;Per煤 Puente;SI023;No se muestre贸;2015;invierno;;;;;;;;;;;;;;;;;;;;;;;;;
15;Reserva Barrio El Ceibo;VL033;2/9/2015;2015;invierno;14.7;;9.3;7.93;;;;;2400;;;4.7;;;;5;34;;;;;;;;
16;Puerto de Olivos Espig贸n;VL032;2/9/2015;2015;invierno;15.3;;7.7;7.64;;;;;;;;6.7;;;;3;29;;;;;;;;
17;Costa y Melo;VL031;2/9/2015;2015;invierno;13.6;;9.4;7.38;;;;;24000;;;5;;;;2;36;;;;;;;;
18;Parque de los Ni帽os;CA041;No se muestre贸;2015;invierno;;;;;;;;;;;;;;;;;;;;;;;;;
19;Costanera Norte - Espig贸n Abanico;CA044;No se muestre贸;2015;invierno;;;;;;;;;;;;;;;;;;;;;;;;;
20;Club de Pescadores;CA046;No se muestre贸;2015;invierno;;;;;;;;;;;;;;;;;;;;;;;;;
21;Reserva Ecol贸gica Costanera Sur - Playita;CA047;No se muestre贸;2015;invierno;;;;;;;;;;;;;;;;;;;;;;;;;
22;Escollera de Propaneros;AV054;26/8/2015;2015;invierno;16.12;;4.73;7.26;;;;;;;;;;;;;100;;;;;;;;
23;Polo Petroqu铆mico Dock Sud;AV051;26/8/2015;2015;invierno;16.23;;4.47;7.38;;;;;;;;;;;;;111.2;;;;;;;;
24;Arroyo Sarand铆;AV052;26/8/2015;2015;invierno;16.7;;3.35;7.24;;;;;;;;;;;;;71.2;;;;;;;;
25;Costa de Villa Dom铆nico;AV055;26/8/2015;2015;invierno;16.14;;5.6;7.13;;;;;;;;;;;;;60;;;;;;;;
26;Arroyo Santo Domingo;AV053;26/8/2015;2015;invierno;16.3;;4.26;7.42;;;;;;;;;;;;;91.2;;;;;;;;
27;Espora 400 m;QU061;No se muestre贸;2015;invierno;;;;;;;;;;;;;;;;;;;;;;;;;
28;N谩utico 400 m;QU062;No se muestre贸;2015;invierno;;;;;;;;;;;;;;;;;;;;;;;;;
29;Pejerrey Club 400 m;QU063;10/9/2015;2015;invierno;;;;7.25;;;;;;;;7;;;;;;;;;;;;;
30;Calle 14 y Costa - Salida cloaca;BZ078;No se muestre贸;2015;invierno;;;;;;;;;;;;;;;;;;;;;;;;;
31;Puerto Trinidad calle 47;BZ077;No se muestre贸;2015;invierno;;;;;;;;;;;;;;;;;;;;;;;;;
32;Costanera Hudson Calle 63;BZ080;No se muestre贸;2015;invierno;;;;;;;;;;;;;;;;;;;;;;;;;
33;Camping Eva Per贸n;EN081;2/9/2015;2015;invierno;;;13.7;10.36;;;;;;;;;;;;;;;;;;;;;
34;Toma de agua Club de Pesca;EN082;2/9/2015;2015;invierno;;;14.5;7.05;;;;;;;;;;;;;;;;;;;;;
35;Arroyo El Gato;EN083;2/9/2015;2015;invierno;;;14.8;5.1;;;;;;;;;;;;;;;;;;;;;
36;Ensenada Prefectura Isla Santiago;EN084;2/9/2015;2015;invierno;;;14.3;8.27;;;;;;;;;;;;;;;;;;;;;
37;Diagonal 66 (descarga cloaca);BS095;No se muestre贸;2015;invierno;;;;;;;;;;;;;;;;;;;;;;;;;
38;Playa Municipal;BS094;No se muestre贸;2015;invierno;;;;;;;;;;;;;;;;;;;;;;;;;
39;Playa La Balandra;BS093;No se muestre贸;2015;invierno;;;;;;;;;;;;;;;;;;;;;;;;;
1;Canal Villa Nueva y R铆o Luj谩n;TI001;No se muestre贸;2015;primavera;;;;;;;;;;;;;;;;;;;;;;;;;
2;R铆o Lujan y Arroyo Caraguat谩;TI006;No se muestre贸;2015;primavera;;;;;;;;;;;;;;;;;;;;;;;;;
3;Canal Aliviador y R铆o Lujan;TI002;No se muestre贸;2015;primavera;;;;;;;;;;;;;;;;;;;;;;;;;
4;R铆o Carapachay y Arroyo Gallo Fiambre;TI003;No se muestre贸;2015;primavera;;;;;;;;;;;;;;;;;;;;;;;;;
5;R铆o Reconquista y R铆o Lujan;TI004;No se muestre贸;2015;primavera;;;;;;;;;;;;;;;;;;;;;;;;;
6;Rio Tigre 100m antes del Rio Luj谩n;TI005;No se muestre贸;2015;primavera;;;;;;;;;;;;;;;;;;;;;;;;;
7;R铆o Lujan y Canal San Fernando;TI007;No se muestre贸;2015;primavera;;;;;;;;;;;;;;;;;;;;;;;;;
8;R铆o Capit谩n y R铆o San Antonio;TI008;No se muestre贸;2015;primavera;;;;;;;;;;;;;;;;;;;;;;;;;
9;Arroyo Abra Vieja y Santa Rosa;TI009;No se muestre贸;2015;primavera;;;;;;;;;;;;;;;;;;;;;;;;;
10;Del Arca;SF015;No se muestre贸;2015;primavera;;;;;;;;;;;;;;;;;;;;;;;;;
11;Espig贸n La Farola;SI021;9/12/2015;2015;primavera;28;;5.94;7.67;;;;;;;;;;;;;;;;;;;;;
12;Reserva Ecol贸gica;SI022;9/12/2015;2015;primavera;28.4;;5.84;7.92;;;;;;;;;;;;;;;;;;;;;
13;Playa Espig贸n de Pacheco;SI024;9/12/2015;2015;primavera;28.4;;5.1;7.98;;;;;;;;;;;;;;;;;;;;;
14;Per煤 Puente;SI023;9/12/2015;2015;primavera;24;;3.59;7.87;;;;;;;;;;;;;;;;;;;;;
15;Reserva Barrio El Ceibo;VL033;9/12/2015;2015;primavera;25.4;;3.7;7.38;;;;;;;;1.7;;;;8;28;;;;;;;;
16;Puerto de Olivos Espig贸n;VL032;9/12/2015;2015;primavera;24.7;;4.2;7.46;;;;;;;;1.6;;;;10;31;;;;;;;;
17;Costa y Melo;VL031;9/12/2015;2015;primavera;25.1;;4.3;7.29;;;;;;;;1.7;;;;3;27;;;;;;;;
