orden;sitios;codigo;fecha;Año;Campaña;tem_agua;tem_aire;od;ph;olores;color;espumas;mat_susp;colif_fecales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;nitrato_mg_l;nh4_mg_l;p_total_l_mg_l;fosf_ortofos_mg_l;dbo_mg_l;dqo_mg_l;turbiedad_ntu;hidr_deriv_petr_ug_l;cr_total_mg_l;cd_total_mg_l;clorofila_a_ug_l;microcistina_ug_l;ica;calidad_de_agua
31;Puerto Trinidad calle 47;BZ077;16/5/2018;2018;otoño;;;;;;;;;;;;;;;;;;;;;;;;;Muy deteriorada
32;Costanera Hudson Calle 63;BZ080;16/5/2018;2018;otoño;15.1;;5.82;6.87;ausencia;ausencia;presencia;ausencia;1200;700;<10;9.8;<0.05;0.39;0.39;22;29;31;123;<0.006;0.002;<10;<0.5;59;Muy deteriorada
33;Camping Eva Perón;EN081;16/5/2018;2018;otoño;16.2;;7.97;7.81;ausencia;ausencia;ausencia;ausencia;2000;700;<10;10;0.25;0.33;0.33;20;27;41;<50;<0.006;0.002;<10;<0.5;61;Muy deteriorada
34;Toma de agua Club de Pesca;EN082;16/5/2018;2018;otoño;;;;;;;;;1600;200;<10;10;0.35;0.28;0.28;28;58;36;<50;<0.006;0.002;<10;<0.5;62;Muy deteriorada
35;Arroyo El Gato;EN083;16/5/2018;2018;otoño;16.5;;3.51;7.26;ausencia;ausencia;ausencia;ausencia;3600;500;<10;10.2;0.97;0.31;0.31;6;44;39;<50;<0.006;0.002;<10;<0.5;56;Deteriorada
36;Ensenada Prefectura Isla Santiago;EN084;16/5/2018;2018;otoño;17.1;;7.14;7.79;ausencia;ausencia;ausencia;ausencia;800;300;<10;8.9;0.06;0.21;0.27;5;48;56;<50;<0.006;0.002;<10;<0.5;71;Muy deteriorada
37;Balneario Palo Blanco;BS092;16/5/2018;2018;otoño;11;;7.05;7.5;ausencia;ausencia;ausencia;ausencia;1600;300;<10;11.3;0.12;0.45;0.45;7;27;39;123;<0.006;0.002;<10;<0.5;61;Extremadamente deteriorada
38;Diagonal 66 (descarga cloaca);BS095;16/5/2018;2018;otoño;11;;5.75;7.62;ausencia;presencia;presencia;presencia;16000;5000;160;4.2;0.81;0.94;0.94;8;36;14;142;<0.006;0.002;<10;<0.5;37;Muy deteriorada
39;Playa La Bagliardi;BS091;16/5/2018;2018;otoño;11;;7.37;8.74;ausencia;;presencia;ausencia;6400;1700;30;7.7;0.32;0.56;0.56;10;44;44;<50;<0.006;0.002;<10;<0.5;50;Muy deteriorada
40;Balneario Municipal;BS094;16/5/2018;2018;otoño;11;;7.52;7.89;ausencia;;ausencia;ausencia;1000;300;<10;5.5;0.14;0.7;0.81;10;53;49;<50;<0.006;0.002;<10;<0.5;58;Deteriorada
41;Playa La Balandra;BS093;16/5/2018;2018;otoño;11;;9.15;7.94;ausencia;;ausencia;ausencia;600;400;<10;3.5;<0.05;0.38;0.38;16;41;46;<50;<0.006;0.002;<10;<0.5;65;Muy deteriorada
1;Canal Villanueva y Río Luján;TI001;15/8/2018;2018;invierno;14.3;;9.9;7.9;ausencia;ausencia;ausencia;ausencia;200;200;20;2.9;0.05;0.09;0.86;8;55;52;49;0.005;0.001;<10;<0.50;61;Extremadamente deteriorada
2;Río Lujan y Arroyo Caraguatá;TI006;15/8/2018;2018;invierno;14;;7.1;7.6;ausencia;ausencia;ausencia;ausencia;8000;7600;2600;4;3.11;0.26;0.26;10;30;44;49;0.005;0.001;<10;<0.50;43;Muy deteriorada
3;Canal Aliviador y Río Lujan;TI002;15/8/2018;2018;invierno;14;;7.5;7.7;ausencia;ausencia;ausencia;ausencia;4600;3300;750;3.4;1.52;0.2;0.20;10;22;49;82;0.005;0.001;<10;<0.50;46;Muy deteriorada
4;Río Carapachay y Arroyo Gallo Fiambre;TI003;15/8/2018;2018;invierno;13.8;;7.8;7.8;ausencia;ausencia;ausencia;ausencia;2800;2300;600;3.7;2.62;0.15;0.15;2;33;45;77;0.005;0.001;<10;<0.50;49;Muy deteriorada
5;Río Reconquista y Río Lujan;TI004;15/8/2018;2018;invierno;13.9;;8.6;7.7;ausencia;ausencia;ausencia;ausencia;3000;3000;50;3;1.05;0.16;0.16;12;139;54;139;0.005;0.001;<10;<0.50;48;Muy deteriorada
6;Rio Tigre 100m antes del Rio Luján;TI005;15/8/2018;2018;invierno;13.8;;7.6;7.7;ausencia;ausencia;ausencia;ausencia;4500;4500;1100;4;1.29;0.23;0.23;10;20;50;49;0.005;0.001;<10;<0.50;47;Muy deteriorada
7;Río Lujan y Canal San Fernando;TI007;15/8/2018;2018;invierno;13.7;;7.55;7.9;ausencia;ausencia;ausencia;presencia;2800;2400;850;3.4;1.34;0.29;0.29;8;30;50;94;0.005;0.001;<10;<0.50;45;Deteriorada
8;Río Capitán y Río San Antonio;TI008;15/8/2018;2018;invierno;14.3;;9.6;7.9;ausencia;ausencia;ausencia;ausencia;100;100;130;3;0.04;0.19;0.19;4;33;56;100;0.005;0.001;<10;<0.50;76;Deteriorada
9;Arroyo Abra Vieja y Santa Rosa;TI009;15/8/2018;2018;invierno;13.9;;9.6;8.1;ausencia;ausencia;ausencia;ausencia;350;200;50;3.3;0.04;0.18;0.18;10;44;64;49;0.005;0.001;<10;<0.50;75;Muy deteriorada
10;Del Arca;SF015;15/8/2018;2018;invierno;13.8;;7.5;7.29;presencia;ausencia;ausencia;ausencia;1600;900;70;4.7;1.03;0.58;0.58;8;131;39;49;0.005;0.001;<10;<0.50;53;Muy deteriorada
11;Espigón La Farola;SI021;15/8/2018;2018;invierno;15;;9.09;7.6;;;;;600;600;50;5;0.84;0.25;0.25;4;47;39;49;0.005;0.001;<10;<0.50;61;Muy deteriorada
12;Reserva Ecológica;SI022;15/8/2018;2018;invierno;14.6;;7.66;7.3;;;;;500;500;110;6.7;0.85;0.2;0.20;4;31;31;145;0.005;0.001;<10;<0.50;57;Extremadamente deteriorada
13;Playa Espigón de Pacheco;SI024;15/8/2018;2018;invierno;14.5;;7.28;7.45;;;;;30000;29200;8300;6.9;0.89;0.25;0.25;10;36;26;49;0.005;0.001;<10;<0.50;38;Extremadamente deteriorada
14;Perú Puente;SI023;15/8/2018;2018;invierno;17.5;;3.35;7.45;;;;;7000;6600;1550;23.3;2.82;0.93;0.93;8;52;15;49;0.005;0.001;<10;<0.50;39;Muy deteriorada
15;Reserva Barrio El Ceibo ;VL033;15/8/2018;2018;invierno;14.3;;8.1;6.73;ausencia;ausencia;ausencia;ausencia;3000;3000;2450;6.8;0.85;0.49;0.49;6;76;27;49;0.005;0.001;<10;<0.50;45;Muy deteriorada
16;Puerto de Olivos Espigón;VL032;15/8/2018;2018;invierno;13.7;;7.6;6.77;presencia;ausencia;ausencia;ausencia;3000;2800;700;8.6;2.35;0.3;0.30;6;47;30;49;0.005;0.001;<10;<0.50;48;Extremadamente deteriorada
17;Costa y Melo;VL031;15/8/2018;2018;invierno;14.1;;7.1;6.72;presencia;ausencia;ausencia;presencia;9000;8600;2900;9.3;1.46;0.09;0.09;8;32;35;77;0.005;0.001;<10;<0.50;38;Deteriorada
18;Parque de los Niños;CA041;15/8/2018;2018;invierno;11.9;;7.8;7.6;;;;;;;;6;0.1;;0.11;5;50;28;;0.02;0.02;10;0.50;79;Muy deteriorada
19;Costanera Norte - Espigón Abanico;CA044;15/8/2018;2018;invierno;14.5;;8.1;7.7;;;;;;;;6;0.1;;0.67;5;50;29;;0.02;0.02;10;0.50;58;Muy deteriorada
20;Club de Pescadores;CA046;15/8/2018;2018;invierno;14.9;;8;7.6;;;;;;;;6;0.1;;0.48;5;50;25;;0.02;0.02;10;0.50;62;Deteriorada
21;Reserva Ecológica Costanera Sur - Playita;CA047;15/8/2018;2018;invierno;14.8;;8.8;7.7;;;;;;;;6;0.1;;0.15;<5;50;25;;0.02;0.02;10;0.50;76;Muy deteriorada
22;Escollera de Propaneros;AV054;15/8/2018;2018;invierno;14.5;;6.72;6.5;ausencia;ausencia;ausencia;ausencia;300;300;30;7;1.39;0.66;1;4;14;41;94;0.005;0.001;<10;<0.50;54;Deteriorada
